<xid>	<yid>	<x in nm>	<y in nm>	<Rg>	<Spring Const k>	<log10(k)>
3	13	480.0	2080.0	1957.5154172045573	0.0005108516598188824	-3.2917051912053314
3	14	480.0	2240.0	920.7221138255995	0.001086104031807166	-2.964128574124764
3	18	480.0	2880.0			
3	19	480.0	3040.0			
3	29	480.0	4640.0			
3	59	480.0	9440.0			
3	192	480.0	30720.0			
3	193	480.0	30880.0	318.9350504980273	0.0031354346235651052	-2.5037022501974895
3	197	480.0	31520.0	673.7098615985477	0.0014843184833709367	-2.828472904494561
3	198	480.0	31680.0	439.19553079161255	0.00227689020012928	-2.642657912128701
3	206	480.0	32960.0	27.14516721892207	0.03683896996968693	-1.4336925213290146
3	207	480.0	33120.0			
3	208	480.0	33280.0	131.102607858313	0.007627613335355873	-2.1176113306466853
3	209	480.0	33440.0	741.7222836673444	0.0013482135052699734	-2.870241326778262
3	210	480.0	33600.0			
4	18	640.0	2880.0	2608.102661552186	0.00038342048982261306	-3.416324682331397
4	19	640.0	3040.0	753.054843400268	0.001327924531345819	-2.8768266061061056
4	20	640.0	3200.0	3363.4114457821343	0.0002973171781448398	-3.5267799977644887
4	21	640.0	3360.0	792.8237124262243	0.0012613144439635492	-2.8991766309094302
4	22	640.0	3520.0			
4	27	640.0	4320.0			
4	28	640.0	4480.0	3875.342679673659	0.0002580416966079009	-3.5883101113097386
4	29	640.0	4640.0	1135.2639249729968	0.0008808524414477328	-3.0550968375951086
4	34	640.0	5440.0	1071.6220616930336	0.0009331648122474453	-3.03004164593367
4	35	640.0	5600.0	790.6351278393943	0.0012648059323303114	-2.897976106095869
4	57	640.0	9120.0	655.8942554724933	0.001524636009015843	-2.8168338272314717
4	58	640.0	9280.0	249.17450198540578	0.004013251725325291	-2.396503598927737
4	108	640.0	17280.0			
4	153	640.0	24480.0	9.184392473143513	0.10888036447964786	-0.9630504339910287
4	165	640.0	26400.0	948.8813714735979	0.001053872517748995	-2.977211920609844
4	167	640.0	26720.0	473.01700740385553	0.002114088889717687	-2.6748767561476594
4	168	640.0	26880.0	51.81685876476387	0.019298738361191684	-1.714471081701149
4	192	640.0	30720.0	702.2099673669896	0.0014240754852136398	-2.846466989671857
4	193	640.0	30880.0	712.1202505204011	0.00140425721536387	-2.8525533359512587
4	194	640.0	31040.0	229.6644405396369	0.004354178634055514	-2.361093757611604
4	197	640.0	31520.0	1838.039530438693	0.0005440579396904079	-3.2643548474563913
4	198	640.0	31680.0	430.26491449967716	0.0023241495327659357	-2.6337359334392167
4	206	640.0	32960.0	1575.952297466234	0.000634536972729294	-3.1975430676835335
4	207	640.0	33120.0	215.88531847173192	0.004632088958522394	-2.334223108644953
4	208	640.0	33280.0	1156.866244887714	0.0008644041646293004	-3.0632831493880937
4	209	640.0	33440.0	532.799289319663	0.0018768793803702526	-2.7265636368740416
5	17	800.0	2720.0			
5	18	800.0	2880.0	455.08258394736106	0.002197403362102007	-2.6580902153343704
5	19	800.0	3040.0	290.95488378693784	0.0034369589779159227	-2.4638256513865078
5	20	800.0	3200.0			
5	21	800.0	3360.0	442.86606115373337	0.0022580190439403917	-2.646272399592916
5	28	800.0	4480.0			
5	29	800.0	4640.0			
5	34	800.0	5440.0	892.661022299642	0.0011202460676773306	-2.9506865718862727
5	35	800.0	5600.0	220.84934260287318	0.004527973632224841	-2.344096110842001
5	108	800.0	17280.0			
5	109	800.0	17440.0			
5	153	800.0	24480.0	1092.7654713453312	0.0009151094413414021	-3.03852696393528
5	154	800.0	24640.0	4804.275164962693	0.00020814794441686922	-3.681627873668959
5	165	800.0	26400.0			
5	167	800.0	26720.0	878.4685552511074	0.001138344672694805	-2.9437262205548893
5	168	800.0	26880.0	787.3544405217369	0.0012700760274335335	-2.8961702811648378
5	192	800.0	30720.0	1146.5768553664532	0.000872161334252987	-3.059403170921925
5	193	800.0	30880.0	1662.1151599988075	0.0006016430293558705	-3.220661110675159
5	194	800.0	31040.0	560.7846214747998	0.0017832158046169556	-2.7487960953647885
5	197	800.0	31520.0	132.03225758358624	0.007573906697512353	-2.1206800492290716
5	198	800.0	31680.0	682.6543442298288	0.0014648701915582194	-2.834200858304899
5	206	800.0	32960.0	917.3833482558298	0.0010900568469018373	-2.962550852837342
5	207	800.0	33120.0	1763.8156493758913	0.0005669526746481925	-3.246453191542611
5	208	800.0	33280.0	1047.426056809891	0.0009547213318767963	-3.020123373640312
5	209	800.0	33440.0	539.0018850765025	0.0018552810809892926	-2.731590284067799
6	17	960.0	2720.0			
6	18	960.0	2880.0	156.04093322871785	0.00640857484833319	-2.1932385390178015
6	19	960.0	3040.0	334.71559479917244	0.0029876110212313073	-2.52467594712757
6	20	960.0	3200.0	1071.1493726163922	0.0009335766099151956	-3.029850037759616
6	21	960.0	3360.0	348.3651653432553	0.0028705510753770924	-2.542034721377065
6	26	960.0	4160.0			
6	107	960.0	17120.0			
6	109	960.0	17440.0			
6	153	960.0	24480.0			
6	168	960.0	26880.0	1337.4143471049747	0.0007477114345039318	-3.1262659777805113
6	192	960.0	30720.0	362.9699236830648	0.0027550492058762755	-2.5598706401335365
6	193	960.0	30880.0	939.855362020928	0.001063993504117214	-2.973061023483321
6	197	960.0	31520.0	602.7376836660095	0.0016590965308784682	-2.7801283447723635
6	198	960.0	31680.0	1148.8548878730342	0.0008704319497228923	-3.060265176315827
6	199	960.0	31840.0	49.66654643058585	0.020134276930198956	-1.696063962324901
6	208	960.0	33280.0	637.8581586470312	0.0015677466634919466	-2.8047241148253463
6	209	960.0	33440.0	476.8385820538318	0.0020971457378570657	-2.6783713878714
7	16	1120.0	2560.0	633.0706483917551	0.001579602533367149	-2.801452178413278
7	17	1120.0	2720.0	420.3664014155802	0.0023788770858767703	-2.6236279969305825
7	19	1120.0	3040.0	852.1060525956332	0.001173562841096905	-2.9304936501549363
7	20	1120.0	3200.0	3.535956425670083	0.2828089149346614	-0.5485069044723596
7	25	1120.0	4000.0			
7	26	1120.0	4160.0	1102.5970633374482	0.0009069496312398136	-3.042416831442688
7	27	1120.0	4320.0	262.0813924497557	0.0038156085430281457	-2.418436187511791
7	107	1120.0	17120.0			
7	108	1120.0	17280.0			
7	154	1120.0	24640.0	482.3049509906595	0.0020733770158195336	-2.683321720094985
7	162	1120.0	25920.0	1749.0713773916732	0.0005717319561259209	-3.2428075328490693
