Width	Height	nb_Planes	nb_Tracks	Pixel_Size(um)	Frame_Duration(s)	Gaussian_Fit	Spectral
200	200	5000	87144	0.160	0.020	X Y sigmaX sigmaY	False
Track	Plane	CentroidX(px)	CentroidY(px)	CentroidZ(um)	Integrated_Intensity	id	Pair_Distance(px)
 1	 1	 38.821590423584	 162.400192260742	-1	 2868.1025390625	 16	 0
 1	 2	 38.6088676452637	 161.862197875977	-1	 2108.69897460938	 25	 0
 1	 3	 38.7238464355469	 162.122467041016	-1	 1978.93798828125	 48	 0
 1	 4	 38.5611763000488	 162.20622253418	-1	 2054.4970703125	 59	 0
 1	 5	 38.7524948120117	 162.296844482422	-1	 2417.65893554688	 77	 0
 1	 6	 38.6171684265137	 162.294021606445	-1	 2842.9580078125	 99	 0
 1	 7	 38.9296226501465	 162.629364013672	-1	 2594.37133789063	 124	 0
 1	 8	 38.4990539550781	 161.980667114258	-1	 2599.25341796875	 142	 0
 1	 9	 37.9660949707031	 161.768035888672	-1	 1417.90600585938	 160	 0
 1	 10	 38.3881225585938	 162.095657348633	-1	 1240.68371582031	 176	 0
 1	 11	 39.0379219055176	 162.540954589844	-1	 1210.80810546875	 192	 0
 1	 12	 38.9006271362305	 162.533950805664	-1	 1217.44128417969	 226	 0
 1	 13	 38.6269340515137	 161.402465820313	-1	 979.976928710938	 246	 0
 1	 14	 38.8114242553711	 162.559539794922	-1	 1327.01391601563	 265	 0
 1	 15	 39.3794746398926	 162.595001220703	-1	 1617.95825195313	 296	 0
 1	 16	 39.3958549499512	 162.525939941406	-1	 1402.31652832031	 312	 0
 1	 17	 38.8194046020508	 162.61116027832	-1	 1601.01391601563	 332	 0
 1	 18	 39.0992774963379	 162.696502685547	-1	 1544.62670898438	 339	 0
 1	 19	 38.4360656738281	 162.513336181641	-1	 717.130065917969	 364	 0
 1	 20	 39.1643753051758	 162.607284545898	-1	 949.105651855469	 384	 0
 1	 21	 39.17236328125	 162.855758666992	-1	 1160.35693359375	 393	 0
 1	 22	 38.5737838745117	 162.470123291016	-1	 494.48095703125	 421	 0
